epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game7_acc_wP,game7_acc_wR,game7_acc_wN,game7_acc_wB,game7_acc_wQ,game7_acc_wK,game7_acc_bP,game7_acc_bR,game7_acc_bN,game7_acc_bB,game7_acc_bQ,game7_acc_bK,game7_acc_empty
1,A,9.939057285945933e-05,0.7379404919624328,0.78706,0.7827308006535948,,1.0644683306867426,0.6610795454545455,603.7686504689045,0.6051282051282051,0.27956989247311825,0.14634146341463414,0.0,0.0,0.7454545454545455,0.5876288659793815,0.23636363636363636,0.2804878048780488,0.31313131313131315,0.0,0.16363636363636364,0.8710174717368961
2,A,9.757729755661012e-05,0.49471605066776275,0.84841,0.8139808006535948,,0.9172030654820529,0.7008522727272727,386.59275216422975,0.7897435897435897,0.34408602150537637,0.4634146341463415,0.0,0.0,0.7636363636363637,0.7164948453608248,0.20909090909090908,0.36585365853658536,0.21212121212121213,0.0,0.4727272727272727,0.8576567317574512
3,A,9.460482294732422e-05,0.42355073626518247,0.86924,0.8283803104575164,,0.8880535440011458,0.7110795454545454,386.841827315744,0.7794871794871795,0.3333333333333333,0.6219512195121951,0.0,0.0,0.9272727272727272,0.7036082474226805,0.2727272727272727,0.36585365853658536,0.40404040404040403,0.0,0.43636363636363634,0.8576567317574512
4,A,9.054634122155992e-05,0.3885278238773346,0.87949,0.8431883169934641,,0.8275720195336775,0.7244318181818182,386.0822171526961,0.8307692307692308,0.3333333333333333,0.5853658536585366,0.0,0.0,0.9090909090909091,0.711340206185567,0.3,0.21951219512195122,0.46464646464646464,0.0,0.2909090909090909,0.8776978417266187
5,A,8.550178566873411e-05,0.3681541683769226,0.88468,0.8487540849673203,,0.7926304123618386,0.7420454545454546,386.7298205131665,0.8487179487179487,0.34408602150537637,0.6707317073170732,0.0,0.0,0.8909090909090909,0.7525773195876289,0.3181818181818182,0.4268292682926829,0.40404040404040403,0.0,0.2545454545454545,0.8884892086330936
6,A,7.959536998847744e-05,0.35351722083091736,0.89046,0.8572303921568627,,0.7665739709680731,0.7519886363636363,385.331042510923,0.8384615384615385,0.3763440860215054,0.6707317073170732,0.03636363636363636,0.0,0.8909090909090909,0.7654639175257731,0.2818181818181818,0.43902439024390244,0.41414141414141414,0.0,0.5818181818181818,0.894141829393628
7,A,7.297252973710758e-05,0.34496609256744387,0.89208,0.8600388071895425,,0.7442451737143777,0.7602272727272728,386.1374553302303,0.8076923076923077,0.3870967741935484,0.6829268292682927,0.02727272727272727,0.0,0.9090909090909091,0.7809278350515464,0.2545454545454545,0.47560975609756095,0.3939393939393939,0.0,0.5454545454545454,0.9131551901336074
8,A,6.579634122155991e-05,0.33401979115009306,0.89632,0.8625408496732027,,0.7693526538935574,0.7525568181818182,386.3836048739031,0.8538461538461538,0.3870967741935484,0.6707317073170732,0.03636363636363636,0.0,0.8909090909090909,0.711340206185567,0.21818181818181817,0.5853658536585366,0.47474747474747475,0.0,0.6545454545454545,0.894655704008222
9,A,5.824350601949144e-05,0.32558017966270447,0.89996,0.865859885620915,,0.7500982533801686,0.7559659090909091,386.93770966120064,0.8589743589743589,0.44086021505376344,0.6829268292682927,0.01818181818181818,0.0,0.8727272727272727,0.7628865979381443,0.2545454545454545,0.43902439024390244,0.42424242424242425,0.0,0.5636363636363636,0.8972250770811921
10,A,5.050000000000001e-05,0.3232454556465149,0.8995,0.8688725490196079,,0.7336254845965993,0.7607954545454545,386.7156843007542,0.8435897435897436,0.3978494623655914,0.6463414634146342,0.045454545454545456,0.0,0.8727272727272727,0.788659793814433,0.34545454545454546,0.47560975609756095,0.41414141414141414,0.0,0.5636363636363636,0.8997944501541624
11,A,4.275649398050859e-05,0.32007580376148226,0.90034,0.868515114379085,,0.7356944626027887,0.7602272727272728,385.93386109080166,0.8641025641025641,0.3978494623655914,0.6707317073170732,0.05454545454545454,0.0,0.8727272727272727,0.770618556701031,0.2727272727272727,0.45121951219512196,0.40404040404040403,0.0,0.6181818181818182,0.9008221993833505
12,A,3.520365877844011e-05,0.314868595867157,0.90199,0.8695363562091504,,0.7099008852785283,0.7701704545454545,385.7710726787336,0.882051282051282,0.44086021505376344,0.6829268292682927,0.2,0.0,0.8545454545454545,0.7757731958762887,0.34545454545454546,0.43902439024390244,0.43434343434343436,0.0,0.5818181818181818,0.8997944501541624
13,A,2.8027470262892444e-05,0.30678384360313415,0.90512,0.8713235294117647,,0.7089839740232988,0.7707386363636364,387.09524013334885,0.8692307692307693,0.3978494623655914,0.7439024390243902,0.24545454545454545,0.0,0.8545454545454545,0.8144329896907216,0.34545454545454546,0.3780487804878049,0.35353535353535354,0.0,0.6545454545454545,0.8972250770811921
14,A,2.1404630011522593e-05,0.30721351698875426,0.90523,0.8724468954248366,,0.7167710997841575,0.7673295454545455,385.2856887509115,0.8589743589743589,0.3978494623655914,0.6585365853658537,0.09090909090909091,0.0,0.8727272727272727,0.7654639175257731,0.34545454545454546,0.4634146341463415,0.4444444444444444,0.0,0.5454545454545454,0.9095580678314491
15,A,1.5498214331265904e-05,0.30714360367298127,0.90502,0.8729575163398693,,0.714004023508592,0.7693181818181818,385.88653555186465,0.8794871794871795,0.41935483870967744,0.6463414634146342,0.12727272727272726,0.0,0.8727272727272727,0.7963917525773195,0.35454545454545455,0.4024390243902439,0.43434343434343436,0.0,0.6,0.9013360739979445
16,A,1.0453658778440109e-05,0.3054463544178009,0.9058,0.8717320261437909,,0.7148274259133772,0.7693181818181818,385.70606340281665,0.8769230769230769,0.43010752688172044,0.6463414634146342,0.11818181818181818,0.0,0.8727272727272727,0.770618556701031,0.35454545454545455,0.4024390243902439,0.41414141414141414,0.0,0.6727272727272727,0.9059609455292909
17,A,6.395177052675796e-06,0.3084655155801773,0.90527,0.8735191993464052,,0.7139180649410595,0.7696022727272728,386.69959415867925,0.8794871794871795,0.41935483870967744,0.6463414634146342,0.14545454545454545,0.0,0.8727272727272727,0.7757731958762887,0.32727272727272727,0.43902439024390244,0.42424242424242425,0.0,0.6363636363636364,0.9044193216855088
18,A,3.422702443389901e-06,0.3032570386314392,0.90645,0.8733149509803921,,0.7149890845472162,0.7713068181818182,387.13452108064666,0.8846153846153846,0.43010752688172044,0.6951219512195121,0.17272727272727273,0.0,0.8727272727272727,0.7680412371134021,0.32727272727272727,0.43902439024390244,0.42424242424242425,0.0,0.6,0.9049331963001028
19,A,1.6094271405406863e-06,0.3035533172607422,0.90583,0.8731617647058824,,0.7129281455820257,0.7704545454545455,386.1226390148513,0.8717948717948718,0.43010752688172044,0.6585365853658537,0.14545454545454545,0.0,0.8727272727272727,0.7731958762886598,0.32727272727272727,0.4268292682926829,0.42424242424242425,0.0,0.6363636363636364,0.9075025693730729
20,A,1.0000000000000002e-06,0.30844364644527433,0.90451,0.8734681372549019,,0.7124389041553844,0.7710227272727272,386.402863278985,0.8743589743589744,0.43010752688172044,0.6707317073170732,0.14545454545454545,0.0,0.8727272727272727,0.7731958762886598,0.32727272727272727,0.43902439024390244,0.42424242424242425,0.0,0.6363636363636364,0.906988694758479
