epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game2_acc_wP,game2_acc_wR,game2_acc_wN,game2_acc_wB,game2_acc_wQ,game2_acc_wK,game2_acc_bP,game2_acc_bR,game2_acc_bN,game2_acc_bB,game2_acc_bQ,game2_acc_bK,game2_acc_empty,game7_diag_per_square,game7_diag_piece_only,game7_diag_empty
1,A,0.0001,0.7662208079433441,0.77678,0.7922794117647058,,0.6926243456153126,0.7851055194805194,658.1449235309847,0.7576335877862596,0.5245901639344263,0.0,0.0,0.0,0.42857142857142855,0.7134615384615385,0.20967741935483872,0.32142857142857145,0.07142857142857142,0.0,0.025974025974025976,0.9292230261088392,0.6573863636363636,0.41740787801778906,0.8514902363823227
2,A,0.0001,0.5138802336215973,0.84277,0.8201593137254902,,0.6117038893235194,0.7960633116883117,397.1829508221708,0.8549618320610687,0.48360655737704916,0.08333333333333333,0.05555555555555555,0.0,0.37662337662337664,0.6730769230769231,0.4596774193548387,0.07142857142857142,0.48214285714285715,0.0,0.025974025974025976,0.9245045611827619,0.6960227272727273,0.5006353240152478,0.8540596094552929
3,B,9.931634888554937e-06,0.0921976369703561,0.97247,0.9884089052287581,,0.05068550877236797,0.9859983766233766,421.32028847327456,0.9923664122137404,0.9426229508196722,0.9833333333333333,0.8148148148148148,0.925,0.974025974025974,0.9846153846153847,0.967741935483871,0.8928571428571429,0.875,0.9743589743589743,0.8311688311688312,0.9990563070147845,0.9659090909090909,0.9263024142312579,0.9979445015416238
4,B,9.728616793536588e-06,0.036901582800047475,0.98921,0.9936172385620915,,0.03604595318501634,0.9914772727272727,421.91952115111053,0.9904580152671756,0.9836065573770492,0.9666666666666667,0.8518518518518519,0.925,0.974025974025974,0.9903846153846154,0.9838709677419355,0.9821428571428571,0.875,1.0,1.0,0.9984271783579742,0.9772727272727273,0.951715374841169,0.9979445015416238
5,B,9.397114317029975e-06,0.02864188674774021,0.99143,0.9948937908496732,,0.10184069762804679,0.9748376623376623,421.567969749216,0.9885496183206107,0.9918032786885246,0.9,0.7592592592592593,0.975,0.05194805194805195,0.9884615384615385,0.9596774193548387,0.9107142857142857,0.9285714285714286,1.0,0.974025974025974,0.9993708713431897,0.9710227272727273,0.9371029224904701,0.9984583761562179
6,B,8.9471999940354e-06,0.021714687905712054,0.99372,0.9962724673202614,,0.05569695594248834,0.9864042207792207,421.0890941848047,0.9942748091603053,0.9590163934426229,0.9666666666666667,0.8888888888888888,0.975,0.961038961038961,0.9903846153846154,0.9919354838709677,0.6964285714285714,0.9642857142857143,1.0,0.922077922077922,0.9949669707455174,0.9801136363636364,0.9606099110546379,0.9958890030832477
7,B,8.392544243589425e-06,0.019912055556233973,0.99413,0.9968341503267973,,0.06592125646912118,0.9835633116883117,422.71121683204547,0.9923664122137404,0.9918032786885246,0.9333333333333333,0.5185185185185185,0.9,0.974025974025974,0.9942307692307693,1.0,0.9285714285714286,0.7678571428571429,0.7692307692307693,0.974025974025974,0.9971689210443536,0.9786931818181818,0.9548919949174078,0.9979445015416238
8,B,7.749999999999999e-06,0.015012525589447469,0.9956,0.9983660130718954,,0.040528585051803234,0.992288961038961,421.24765736516565,0.9942748091603053,0.9918032786885246,0.9833333333333333,0.8888888888888888,0.95,0.974025974025974,0.9942307692307693,0.9596774193548387,0.9642857142857143,1.0,0.9487179487179487,0.948051948051948,0.9977980497011639,0.9857954545454546,0.9707750952986023,0.9979445015416238
9,B,7.039090644965509e-06,0.013101586233198178,0.9961,0.9980596405228758,,0.056957458049155675,0.986810064935065,424.10121214203537,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.7037037037037037,0.825,0.948051948051948,0.9903846153846154,0.9838709677419355,0.9107142857142857,0.75,0.9230769230769231,0.987012987012987,0.9993708713431897,0.9792613636363636,0.9555273189326556,0.9984583761562179
10,B,6.281416799501186e-06,0.011422193643406499,0.99669,0.9985191993464052,,0.06154238210625148,0.9849837662337663,421.09234221000224,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.7962962962962963,0.675,0.974025974025974,0.9923076923076923,0.9838709677419355,1.0,0.8392857142857143,1.0,0.6883116883116883,0.9990563070147845,0.9792613636363636,0.9561626429479034,0.9979445015416238
11,B,5.499999999999998e-06,0.009026477424557087,0.99734,0.9985191993464052,,0.04039322325918981,0.992288961038961,421.20264369621873,0.9904580152671756,0.9918032786885246,0.9833333333333333,0.9444444444444444,0.825,0.948051948051948,0.9942307692307693,0.9919354838709677,1.0,0.8928571428571429,0.9487179487179487,0.974025974025974,0.9990563070147845,0.9769886363636363,0.9510800508259212,0.9979445015416238
12,B,4.718583200498812e-06,0.007772227829241893,0.99764,0.9989276960784313,,0.04826447839074611,0.9910714285714286,421.48037638980895,0.9942748091603053,0.9918032786885246,0.9833333333333333,0.7962962962962963,0.875,0.974025974025974,0.9942307692307693,0.9838709677419355,0.9464285714285714,0.9285714285714286,0.8974358974358975,0.961038961038961,0.9993708713431897,0.9818181818181818,0.963151207115629,0.9969167523124358
13,B,3.960909355034491e-06,0.006708452991348458,0.99803,0.9995404411764706,,0.04705548885447735,0.9904626623376623,420.64534081099555,0.9904580152671756,0.9918032786885246,0.95,0.7962962962962963,0.8,0.974025974025974,0.9942307692307693,0.9919354838709677,1.0,0.9821428571428571,0.8461538461538461,0.974025974025974,0.9987417426863794,0.984375,0.9675984752223634,0.9979445015416238
14,B,3.2500000000000002e-06,0.0036927461284806487,0.99876,0.9990808823529411,,0.040380185623819544,0.9910714285714286,421.80245901597664,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.8703703703703703,0.75,0.948051948051948,0.9923076923076923,0.9919354838709677,1.0,0.9464285714285714,0.9743589743589743,0.922077922077922,0.9993708713431897,0.9855113636363636,0.9695044472681067,0.9984583761562179
15,B,2.607455756410572e-06,0.0037807480220205616,0.99888,0.9994383169934641,,0.04295760288293316,0.9902597402597403,421.6723992130719,0.9866412213740458,0.9918032786885246,0.9666666666666667,0.9074074074074074,0.9,0.961038961038961,0.9846153846153847,0.9919354838709677,1.0,0.9642857142857143,0.8205128205128205,0.935064935064935,0.9990563070147845,0.98125,0.9612452350698857,0.9974306269270298
16,B,2.0528000059645994e-06,0.003696962933803734,0.99882,0.9998468137254902,,0.03912511044009906,0.9935064935064936,420.8103534029797,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.9444444444444444,0.85,0.974025974025974,0.9942307692307693,0.9919354838709677,1.0,0.9464285714285714,0.9487179487179487,0.961038961038961,0.9990563070147845,0.9857954545454546,0.9707750952986023,0.9979445015416238
17,B,1.6028856829700269e-06,0.0023666492318085513,0.99925,0.9998468137254902,,0.0440804645201409,0.9924918831168831,421.38070447929204,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.8888888888888888,0.85,0.974025974025974,0.9923076923076923,0.9919354838709677,0.9821428571428571,0.9107142857142857,0.9487179487179487,0.974025974025974,0.9993708713431897,0.9829545454545454,0.9637865311308768,0.9984583761562179
18,B,1.2713832064634127e-06,0.0021407475965488994,0.99938,0.9998978758169934,,0.044385197507115476,0.992288961038961,422.09198688715696,0.9904580152671756,0.9918032786885246,0.9833333333333333,0.9074074074074074,0.825,0.948051948051948,0.9942307692307693,0.9919354838709677,1.0,0.9821428571428571,0.8974358974358975,0.948051948051948,0.9993708713431897,0.9872159090909091,0.9739517153748412,0.9979445015416238
19,B,1.0683651114450641e-06,0.0018337714523418982,0.99947,0.9999489379084967,,0.043142882901638466,0.9926948051948052,427.5173687208444,0.9904580152671756,0.9918032786885246,0.9666666666666667,0.9814814814814815,0.775,0.974025974025974,0.9942307692307693,0.9838709677419355,1.0,0.9642857142857143,0.8974358974358975,0.961038961038961,0.9993708713431897,0.9897727272727272,0.9796696315120712,0.9979445015416238
20,B,1.0000000000000002e-06,0.0016075953991545248,0.99947,0.9998468137254902,,0.042462386639732806,0.9933035714285714,427.3069109530188,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.9259259259259259,0.825,0.974025974025974,0.9942307692307693,0.9919354838709677,1.0,0.9642857142857143,0.9230769230769231,0.961038961038961,0.9993708713431897,0.9880681818181818,0.9764930114358322,0.9974306269270298
